campagne,sample,col,row,aspect,time,dayPeriod,treatment,species,tissu,StarchNscTissue,chamber
1,177,1,4,N,A,Day,Drought,Pinus,END,0.479750822,4-Jan
1,177,1,4,N,A,Day,Drought,Pinus,IT,0.054162756,4-Jan
1,177,1,4,N,A,Day,Drought,Pinus,LM,1.717657559,4-Jan
1,177,1,4,N,A,Day,Drought,Pinus,UM,1.588428863,4-Jan
1,177,1,4,N,A,Day,Drought,Pinus,END,0.483405807,4-Jan
1,177,1,4,N,A,Day,Drought,Pinus,IT,0.054575396,4-Jan
1,177,1,4,N,A,Day,Drought,Pinus,LM,1.568563852,4-Jan
1,177,1,4,N,A,Day,Drought,Pinus,UM,1.733454946,4-Jan
1,177,1,4,N,B,Day,Drought,Pinus,END,0.897267583,4-Jan
1,177,1,4,N,B,Day,Drought,Pinus,IT,0.358533833,4-Jan
1,177,1,4,N,B,Day,Drought,Pinus,LM,1.454285458,4-Jan
1,177,1,4,N,B,Day,Drought,Pinus,UM,0.699913125,4-Jan
1,177,1,4,N,C,Night,Drought,Pinus,END,1.410418916,4-Jan
1,177,1,4,N,C,Night,Drought,Pinus,IT,0.403722508,4-Jan
1,177,1,4,N,C,Night,Drought,Pinus,LM,3.572384954,4-Jan
1,177,1,4,N,C,Night,Drought,Pinus,UM,1.503473622,4-Jan
1,177,1,4,N,C,Night,Drought,Pinus,END,1.472486267,4-Jan
1,177,1,4,N,C,Night,Drought,Pinus,IT,0.421488852,4-Jan
1,177,1,4,N,C,Night,Drought,Pinus,LM,3.180640459,4-Jan
1,177,1,4,N,C,Night,Drought,Pinus,UM,1.815384423,4-Jan
1,177,1,4,N,D,Night,Drought,Pinus,END,1.071481304,4-Jan
1,177,1,4,N,D,Night,Drought,Pinus,IT,0.226051277,4-Jan
1,177,1,4,N,D,Night,Drought,Pinus,LM,2.260025949,4-Jan
1,177,1,4,N,D,Night,Drought,Pinus,UM,0.78244147,4-Jan
1,177,1,4,N,D,Night,Drought,Pinus,END,1.054906452,4-Jan
1,177,1,4,N,D,Night,Drought,Pinus,IT,0.222554467,4-Jan
1,177,1,4,N,D,Night,Drought,Pinus,LM,2.338462089,4-Jan
1,177,1,4,N,D,Night,Drought,Pinus,UM,0.724076993,4-Jan
1,177,1,4,N,E,Day,Drought,Pinus,END,0.461236794,4-Jan
1,177,1,4,N,E,Day,Drought,Pinus,IT,0.237719848,4-Jan
1,177,1,4,N,E,Day,Drought,Pinus,LM,1.583327034,4-Jan
1,177,1,4,N,E,Day,Drought,Pinus,UM,1.927716324,4-Jan
1,177,1,4,N,E,Day,Drought,Pinus,END,0.457979624,4-Jan
1,177,1,4,N,E,Day,Drought,Pinus,IT,0.236041113,4-Jan
1,177,1,4,N,E,Day,Drought,Pinus,LM,1.494785056,4-Jan
1,177,1,4,N,E,Day,Drought,Pinus,UM,2.021194207,4-Jan
1,177,1,4,N,F,Day,Drought,Pinus,END,0.313942918,4-Jan
1,177,1,4,N,F,Day,Drought,Pinus,IT,0.19153782,4-Jan
1,177,1,4,N,F,Day,Drought,Pinus,LM,2.359520588,4-Jan
1,177,1,4,N,F,Day,Drought,Pinus,UM,2.284998674,4-Jan
1,311,2,2,S,A,Day,Drought,Pinus,END,0.6271245,2-Feb
1,311,2,2,S,A,Day,Drought,Pinus,IT,2.392505133,2-Feb
1,311,2,2,S,A,Day,Drought,Pinus,LM,0.345154555,2-Feb
1,311,2,2,S,A,Day,Drought,Pinus,UM,0.565215812,2-Feb
1,311,2,2,S,A,Day,Drought,Pinus,END,0.625032512,2-Feb
1,311,2,2,S,A,Day,Drought,Pinus,IT,2.384524112,2-Feb
1,311,2,2,S,A,Day,Drought,Pinus,LM,0.320684823,2-Feb
1,311,2,2,S,A,Day,Drought,Pinus,UM,0.599758553,2-Feb
1,311,2,2,S,B,Day,Drought,Pinus,END,1.53226523,2-Feb
1,311,2,2,S,B,Day,Drought,Pinus,IT,1.115554213,2-Feb
1,311,2,2,S,B,Day,Drought,Pinus,LM,1.19315625,2-Feb
1,311,2,2,S,B,Day,Drought,Pinus,UM,1.529024306,2-Feb
1,311,2,2,S,B,Day,Drought,Pinus,END,1.511803765,2-Feb
1,311,2,2,S,B,Day,Drought,Pinus,IT,1.100657398,2-Feb
1,311,2,2,S,B,Day,Drought,Pinus,LM,1.026605571,2-Feb
1,311,2,2,S,B,Day,Drought,Pinus,UM,1.730933266,2-Feb
1,311,2,2,S,C,Night,Drought,Pinus,END,1.268937752,2-Feb
1,311,2,2,S,C,Night,Drought,Pinus,IT,1.366938531,2-Feb
1,311,2,2,S,C,Night,Drought,Pinus,LM,2.283495931,2-Feb
1,311,2,2,S,C,Night,Drought,Pinus,UM,2.220627787,2-Feb
1,311,2,2,S,C,Night,Drought,Pinus,END,1.265053682,2-Feb
1,311,2,2,S,C,Night,Drought,Pinus,IT,1.362754493,2-Feb
1,311,2,2,S,C,Night,Drought,Pinus,LM,2.515926927,2-Feb
1,311,2,2,S,C,Night,Drought,Pinus,UM,1.996264898,2-Feb
1,311,2,2,S,D,Night,Drought,Pinus,END,0.597515586,2-Feb
1,311,2,2,S,D,Night,Drought,Pinus,IT,0.420730275,2-Feb
1,311,2,2,S,D,Night,Drought,Pinus,LM,1.635169256,2-Feb
1,311,2,2,S,D,Night,Drought,Pinus,UM,2.566584883,2-Feb
1,311,2,2,S,D,Night,Drought,Pinus,END,0.615287159,2-Feb
1,311,2,2,S,D,Night,Drought,Pinus,IT,0.433243821,2-Feb
1,311,2,2,S,D,Night,Drought,Pinus,LM,2.024153413,2-Feb
1,311,2,2,S,D,Night,Drought,Pinus,UM,2.147315607,2-Feb
1,311,2,2,S,E,Day,Drought,Pinus,END,1.327784724,2-Feb
1,311,2,2,S,E,Day,Drought,Pinus,IT,2.272868322,2-Feb
1,311,2,2,S,E,Day,Drought,Pinus,LM,1.744378594,2-Feb
1,311,2,2,S,E,Day,Drought,Pinus,UM,1.16496836,2-Feb
1,311,2,2,S,E,Day,Drought,Pinus,END,1.313299067,2-Feb
1,311,2,2,S,E,Day,Drought,Pinus,IT,2.24807214,2-Feb
1,311,2,2,S,E,Day,Drought,Pinus,LM,1.890310621,2-Feb
1,311,2,2,S,E,Day,Drought,Pinus,UM,1.058318173,2-Feb
1,311,2,2,S,F,Day,Drought,Pinus,END,0.636652108,2-Feb
1,311,2,2,S,F,Day,Drought,Pinus,IT,0.689867699,2-Feb
1,311,2,2,S,F,Day,Drought,Pinus,LM,1.682162869,2-Feb
1,311,2,2,S,F,Day,Drought,Pinus,UM,3.081317324,2-Feb
1,311,2,2,S,F,Day,Drought,Pinus,END,0.650828742,2-Feb
1,311,2,2,S,F,Day,Drought,Pinus,IT,0.70522931,2-Feb
1,311,2,2,S,F,Day,Drought,Pinus,LM,2.054814761,2-Feb
1,311,2,2,S,F,Day,Drought,Pinus,UM,2.679127187,2-Feb
1,33,1,1,S,A,Day,Control,Pinus,END,0.184883549,1-Jan
1,33,1,1,S,A,Day,Control,Pinus,IT,0.140091041,1-Jan
1,33,1,1,S,A,Day,Control,Pinus,LM,1.726289993,1-Jan
1,33,1,1,S,A,Day,Control,Pinus,UM,1.128735417,1-Jan
1,33,1,1,S,A,Day,Control,Pinus,END,0.184243681,1-Jan
1,33,1,1,S,A,Day,Control,Pinus,IT,0.139606196,1-Jan
1,33,1,1,S,A,Day,Control,Pinus,LM,1.769520576,1-Jan
1,33,1,1,S,A,Day,Control,Pinus,UM,1.086629547,1-Jan
1,33,1,1,S,B,Day,Control,Pinus,END,0.071131595,1-Jan
1,33,1,1,S,B,Day,Control,Pinus,IT,0.06115976,1-Jan
1,33,1,1,S,B,Day,Control,Pinus,LM,1.682869238,1-Jan
1,33,1,1,S,B,Day,Control,Pinus,UM,1.114839407,1-Jan
1,33,1,1,S,B,Day,Control,Pinus,END,0.072551273,1-Jan
1,33,1,1,S,B,Day,Control,Pinus,IT,0.062380416,1-Jan
1,33,1,1,S,B,Day,Control,Pinus,LM,1.538021035,1-Jan
1,33,1,1,S,B,Day,Control,Pinus,UM,1.257047276,1-Jan
1,33,1,1,S,C,Night,Control,Pinus,END,0.070410145,1-Jan
1,33,1,1,S,C,Night,Control,Pinus,IT,0.079854492,1-Jan
1,33,1,1,S,C,Night,Control,Pinus,LM,1.560437118,1-Jan
1,33,1,1,S,C,Night,Control,Pinus,UM,1.509298244,1-Jan
1,33,1,1,S,C,Night,Control,Pinus,END,0.070376522,1-Jan
1,33,1,1,S,C,Night,Control,Pinus,IT,0.079816359,1-Jan
1,33,1,1,S,C,Night,Control,Pinus,LM,1.494663953,1-Jan
1,33,1,1,S,C,Night,Control,Pinus,UM,1.575143166,1-Jan
1,33,1,1,S,D,Night,Control,Pinus,END,0.209258902,1-Jan
1,33,1,1,S,D,Night,Control,Pinus,IT,0.066814068,1-Jan
1,33,1,1,S,D,Night,Control,Pinus,LM,1.941326187,1-Jan
1,33,1,1,S,D,Night,Control,Pinus,UM,1.202600843,1-Jan
1,33,1,1,S,D,Night,Control,Pinus,END,0.205652306,1-Jan
1,33,1,1,S,D,Night,Control,Pinus,IT,0.065662521,1-Jan
1,33,1,1,S,D,Night,Control,Pinus,LM,2.054978347,1-Jan
1,33,1,1,S,D,Night,Control,Pinus,UM,1.093706826,1-Jan
1,33,1,1,S,E,Day,Control,Pinus,END,0.186904089,1-Jan
1,33,1,1,S,E,Day,Control,Pinus,IT,0.019224616,1-Jan
1,33,1,1,S,E,Day,Control,Pinus,LM,1.207958381,1-Jan
1,33,1,1,S,E,Day,Control,Pinus,UM,1.395912915,1-Jan
1,33,1,1,S,E,Day,Control,Pinus,END,0.185869767,1-Jan
1,33,1,1,S,E,Day,Control,Pinus,IT,0.019118227,1-Jan
1,33,1,1,S,E,Day,Control,Pinus,LM,1.139509934,1-Jan
1,33,1,1,S,E,Day,Control,Pinus,UM,1.465502072,1-Jan
1,33,1,1,S,F,Day,Control,Pinus,END,0.693010257,1-Jan
1,33,1,1,S,F,Day,Control,Pinus,IT,0.60085935,1-Jan
1,33,1,1,S,F,Day,Control,Pinus,LM,4.468591856,1-Jan
1,33,1,1,S,F,Day,Control,Pinus,UM,5.577538536,1-Jan
1,33,1,1,S,F,Day,Control,Pinus,END,0.668125358,1-Jan
1,33,1,1,S,F,Day,Control,Pinus,IT,0.579283444,1-Jan
1,33,1,1,S,F,Day,Control,Pinus,LM,3.612038429,1-Jan
1,33,1,1,S,F,Day,Control,Pinus,UM,6.480552769,1-Jan
1,391,2,4,N,A,Day,Control,Pinus,END,0.546458558,4-Feb
1,391,2,4,N,A,Day,Control,Pinus,IT,0.794667047,4-Feb
1,391,2,4,N,A,Day,Control,Pinus,LM,2.841459797,4-Feb
1,391,2,4,N,A,Day,Control,Pinus,UM,2.287414598,4-Feb
1,391,2,4,N,A,Day,Control,Pinus,END,0.546156108,4-Feb
1,391,2,4,N,A,Day,Control,Pinus,IT,0.79422722,4-Feb
1,391,2,4,N,A,Day,Control,Pinus,LM,2.892303478,4-Feb
1,391,2,4,N,A,Day,Control,Pinus,UM,2.237313195,4-Feb
1,391,2,4,N,B,Day,Control,Pinus,END,1.234322483,4-Feb
1,391,2,4,N,B,Day,Control,Pinus,IT,0.979705087,4-Feb
1,391,2,4,N,B,Day,Control,Pinus,LM,3.136392552,4-Feb
1,391,2,4,N,B,Day,Control,Pinus,UM,1.709579877,4-Feb
1,391,2,4,N,B,Day,Control,Pinus,END,1.221760942,4-Feb
1,391,2,4,N,B,Day,Control,Pinus,IT,0.969734754,4-Feb
1,391,2,4,N,B,Day,Control,Pinus,LM,3.246953783,4-Feb
1,391,2,4,N,B,Day,Control,Pinus,UM,1.621550521,4-Feb
1,391,2,4,N,C,Night,Control,Pinus,END,1.17044142,4-Feb
1,391,2,4,N,C,Night,Control,Pinus,IT,0.505528793,4-Feb
1,391,2,4,N,C,Night,Control,Pinus,LM,2.682843042,4-Feb
1,391,2,4,N,C,Night,Control,Pinus,UM,1.901186744,4-Feb
1,391,2,4,N,C,Night,Control,Pinus,END,1.173588772,4-Feb
1,391,2,4,N,C,Night,Control,Pinus,IT,0.506888175,4-Feb
1,391,2,4,N,C,Night,Control,Pinus,LM,2.600017607,4-Feb
1,391,2,4,N,C,Night,Control,Pinus,UM,1.979505445,4-Feb
1,391,2,4,N,D,Night,Control,Pinus,END,0.548651968,4-Feb
1,391,2,4,N,D,Night,Control,Pinus,IT,1.454866628,4-Feb
1,391,2,4,N,D,Night,Control,Pinus,LM,2.404597145,4-Feb
1,391,2,4,N,D,Night,Control,Pinus,UM,2.491884259,4-Feb
1,391,2,4,N,D,Night,Control,Pinus,END,0.546301897,4-Feb
1,391,2,4,N,D,Night,Control,Pinus,IT,1.448634919,4-Feb
1,391,2,4,N,D,Night,Control,Pinus,LM,2.155485906,4-Feb
1,391,2,4,N,D,Night,Control,Pinus,UM,2.749577278,4-Feb
1,391,2,4,N,E,Day,Control,Pinus,END,0.352933379,4-Feb
1,391,2,4,N,E,Day,Control,Pinus,IT,1.36014662,4-Feb
1,391,2,4,N,E,Day,Control,Pinus,LM,2.31155707,4-Feb
1,391,2,4,N,E,Day,Control,Pinus,UM,2.035362932,4-Feb
1,391,2,4,N,E,Day,Control,Pinus,END,0.351635413,4-Feb
1,391,2,4,N,E,Day,Control,Pinus,IT,1.355144477,4-Feb
1,391,2,4,N,E,Day,Control,Pinus,LM,2.487422505,4-Feb
1,391,2,4,N,E,Day,Control,Pinus,UM,1.865797604,4-Feb
1,391,2,4,N,F,Day,Control,Pinus,END,0.948728168,4-Feb
1,391,2,4,N,F,Day,Control,Pinus,IT,0.885211085,4-Feb
1,391,2,4,N,F,Day,Control,Pinus,LM,2.121390317,4-Feb
1,391,2,4,N,F,Day,Control,Pinus,UM,1.90467043,4-Feb
1,391,2,4,N,F,Day,Control,Pinus,END,0.934362379,4-Feb
1,391,2,4,N,F,Day,Control,Pinus,IT,0.871807081,4-Feb
1,391,2,4,N,F,Day,Control,Pinus,LM,2.532689201,4-Feb
1,391,2,4,N,F,Day,Control,Pinus,UM,1.52114134,4-Feb
2,494,3,1,S,A,Day,Drought,Pinus,END,0.344930842,1-Mar
2,494,3,1,S,A,Day,Drought,Pinus,IT,0.283329974,1-Mar
2,494,3,1,S,A,Day,Drought,Pinus,LM,1.79694221,1-Mar
2,494,3,1,S,A,Day,Drought,Pinus,UM,1.484796974,1-Mar
2,494,3,1,S,A,Day,Drought,Pinus,END,0.344275289,1-Mar
2,494,3,1,S,A,Day,Drought,Pinus,IT,0.282791496,1-Mar
2,494,3,1,S,A,Day,Drought,Pinus,LM,1.830710108,1-Mar
2,494,3,1,S,A,Day,Drought,Pinus,UM,1.452223107,1-Mar
2,494,3,1,S,A',Day,Drought,Pinus,END,0.466926311,1-Mar
2,494,3,1,S,A',Day,Drought,Pinus,IT,0.302889458,1-Mar
2,494,3,1,S,A',Day,Drought,Pinus,LM,3.428940273,1-Mar
2,494,3,1,S,A',Day,Drought,Pinus,UM,1.401243959,1-Mar
2,494,3,1,S,A',Day,Drought,Pinus,END,0.483049303,1-Mar
2,494,3,1,S,A',Day,Drought,Pinus,IT,0.313348248,1-Mar
2,494,3,1,S,A',Day,Drought,Pinus,LM,3.136663621,1-Mar
2,494,3,1,S,A',Day,Drought,Pinus,UM,1.666938828,1-Mar
2,494,3,1,S,B,Day,Drought,Pinus,END,0.46198938,1-Mar
2,494,3,1,S,B,Day,Drought,Pinus,IT,0.360673255,1-Mar
2,494,3,1,S,B,Day,Drought,Pinus,LM,2.578732222,1-Mar
